category1,response_site1,category2,response_site2,count,probability
antitask,castro,actions,marina,1,0.3333333333333333
fun,castro,actions,marina,1,0.3333333333333333
other,castro,actions,marina,1,0.3333333333333333
geography,castro,antitask,marina,1,0.043478260869565216
institutions,castro,antitask,marina,1,0.043478260869565216
special,castro,antitask,marina,1,0.043478260869565216
boring,castro,antitask,marina,2,0.08695652173913043
community,castro,antitask,marina,2,0.08695652173913043
diverse,castro,antitask,marina,2,0.08695652173913043
gay,castro,antitask,marina,2,0.08695652173913043
nice,castro,antitask,marina,2,0.08695652173913043
fun,castro,antitask,marina,10,0.43478260869565216
bad,castro,bad,marina,1,0.08333333333333333
community,castro,bad,marina,1,0.08333333333333333
gay,castro,bad,marina,1,0.08333333333333333
nice,castro,bad,marina,1,0.08333333333333333
open,castro,bad,marina,1,0.08333333333333333
chaotic,castro,bad,marina,2,0.16666666666666666
fun,castro,bad,marina,5,0.4166666666666667
antitask,castro,boring,marina,1,0.0625
boring,castro,boring,marina,1,0.0625
chaotic,castro,boring,marina,1,0.0625
normative,castro,boring,marina,1,0.0625
nice,castro,boring,marina,2,0.125
other,castro,boring,marina,2,0.125
gay,castro,boring,marina,3,0.1875
fun,castro,boring,marina,5,0.3125
nice,castro,change,marina,1,1.0
chaotic,castro,chaotic,marina,1,0.25
community,castro,chaotic,marina,1,0.25
fun,castro,chaotic,marina,2,0.5
fun,castro,community,marina,1,1.0
fun,castro,diverse,marina,1,1.0
antitask,castro,fun,marina,1,0.125
boring,castro,fun,marina,1,0.125
gay,castro,fun,marina,1,0.125
institutions,castro,fun,marina,1,0.125
fun,castro,fun,marina,2,0.25
nice,castro,fun,marina,2,0.25
gay,castro,gay,marina,1,1.0
chaotic,castro,gentrified,marina,1,0.022727272727272728
community,castro,gentrified,marina,1,0.022727272727272728
geography,castro,gentrified,marina,1,0.022727272727272728
other,castro,gentrified,marina,1,0.022727272727272728
antitask,castro,gentrified,marina,2,0.045454545454545456
nice,castro,gentrified,marina,2,0.045454545454545456
special,castro,gentrified,marina,2,0.045454545454545456
diverse,castro,gentrified,marina,3,0.06818181818181818
fun,castro,gentrified,marina,10,0.22727272727272727
gay,castro,gentrified,marina,21,0.4772727272727273
antitask,castro,geography,marina,1,0.09090909090909091
institutions,castro,geography,marina,1,0.09090909090909091
community,castro,geography,marina,2,0.18181818181818182
fun,castro,geography,marina,2,0.18181818181818182
geography,castro,geography,marina,2,0.18181818181818182
gay,castro,geography,marina,3,0.2727272727272727
community,castro,gritty,marina,1,0.5
gay,castro,gritty,marina,1,0.5
institutions,castro,institutions,marina,1,0.3333333333333333
fun,castro,institutions,marina,2,0.6666666666666666
fun,castro,latino,marina,1,1.0
diverse,castro,nice,marina,1,0.05263157894736842
open,castro,nice,marina,1,0.05263157894736842
other,castro,nice,marina,1,0.05263157894736842
antitask,castro,nice,marina,2,0.10526315789473684
special,castro,nice,marina,2,0.10526315789473684
gay,castro,nice,marina,3,0.15789473684210525
nice,castro,nice,marina,3,0.15789473684210525
fun,castro,nice,marina,6,0.3157894736842105
other,castro,normative,marina,1,0.021739130434782608
special,castro,normative,marina,1,0.021739130434782608
chaotic,castro,normative,marina,2,0.043478260869565216
community,castro,normative,marina,2,0.043478260869565216
diverse,castro,normative,marina,2,0.043478260869565216
nice,castro,normative,marina,2,0.043478260869565216
fun,castro,normative,marina,10,0.21739130434782608
gay,castro,normative,marina,26,0.5652173913043478
antitask,castro,other,marina,1,0.043478260869565216
boring,castro,other,marina,1,0.043478260869565216
community,castro,other,marina,1,0.043478260869565216
diverse,castro,other,marina,1,0.043478260869565216
special,castro,other,marina,1,0.043478260869565216
change,castro,other,marina,2,0.08695652173913043
institutions,castro,other,marina,2,0.08695652173913043
nice,castro,other,marina,2,0.08695652173913043
other,castro,other,marina,2,0.08695652173913043
fun,castro,other,marina,5,0.21739130434782608
gay,castro,other,marina,5,0.21739130434782608
fun,castro,sexual,marina,1,1.0
fun,castro,special,marina,1,1.0
gay,castro,weather,marina,1,1.0
diverse,castro,young,marina,1,0.09090909090909091
other,castro,young,marina,1,0.09090909090909091
community,castro,young,marina,2,0.18181818181818182
gay,castro,young,marina,3,0.2727272727272727
fun,castro,young,marina,4,0.36363636363636365
