category1,response_site1,category2,response_site2,count,probability
antitask,castro,actions,marina,1,0.1111111111111111
antitask,castro,boring,marina,1,0.1111111111111111
antitask,castro,fun,marina,1,0.1111111111111111
antitask,castro,geography,marina,1,0.1111111111111111
antitask,castro,other,marina,1,0.1111111111111111
antitask,castro,gentrified,marina,2,0.2222222222222222
antitask,castro,nice,marina,2,0.2222222222222222
bad,castro,bad,marina,1,1.0
boring,castro,boring,marina,1,0.2
boring,castro,fun,marina,1,0.2
boring,castro,other,marina,1,0.2
boring,castro,antitask,marina,2,0.4
change,castro,other,marina,2,1.0
chaotic,castro,boring,marina,1,0.14285714285714285
chaotic,castro,chaotic,marina,1,0.14285714285714285
chaotic,castro,gentrified,marina,1,0.14285714285714285
chaotic,castro,bad,marina,2,0.2857142857142857
chaotic,castro,normative,marina,2,0.2857142857142857
community,castro,bad,marina,1,0.07692307692307693
community,castro,chaotic,marina,1,0.07692307692307693
community,castro,gentrified,marina,1,0.07692307692307693
community,castro,gritty,marina,1,0.07692307692307693
community,castro,other,marina,1,0.07692307692307693
community,castro,antitask,marina,2,0.15384615384615385
community,castro,geography,marina,2,0.15384615384615385
community,castro,normative,marina,2,0.15384615384615385
community,castro,young,marina,2,0.15384615384615385
diverse,castro,nice,marina,1,0.1
diverse,castro,other,marina,1,0.1
diverse,castro,young,marina,1,0.1
diverse,castro,antitask,marina,2,0.2
diverse,castro,normative,marina,2,0.2
diverse,castro,gentrified,marina,3,0.3
fun,castro,actions,marina,1,0.014492753623188406
fun,castro,community,marina,1,0.014492753623188406
fun,castro,diverse,marina,1,0.014492753623188406
fun,castro,latino,marina,1,0.014492753623188406
fun,castro,sexual,marina,1,0.014492753623188406
fun,castro,special,marina,1,0.014492753623188406
fun,castro,chaotic,marina,2,0.028985507246376812
fun,castro,fun,marina,2,0.028985507246376812
fun,castro,geography,marina,2,0.028985507246376812
fun,castro,institutions,marina,2,0.028985507246376812
fun,castro,young,marina,4,0.057971014492753624
fun,castro,bad,marina,5,0.07246376811594203
fun,castro,boring,marina,5,0.07246376811594203
fun,castro,other,marina,5,0.07246376811594203
fun,castro,nice,marina,6,0.08695652173913043
fun,castro,antitask,marina,10,0.14492753623188406
fun,castro,gentrified,marina,10,0.14492753623188406
fun,castro,normative,marina,10,0.14492753623188406
gay,castro,bad,marina,1,0.014084507042253521
gay,castro,fun,marina,1,0.014084507042253521
gay,castro,gay,marina,1,0.014084507042253521
gay,castro,gritty,marina,1,0.014084507042253521
gay,castro,weather,marina,1,0.014084507042253521
gay,castro,antitask,marina,2,0.028169014084507043
gay,castro,boring,marina,3,0.04225352112676056
gay,castro,geography,marina,3,0.04225352112676056
gay,castro,nice,marina,3,0.04225352112676056
gay,castro,young,marina,3,0.04225352112676056
gay,castro,other,marina,5,0.07042253521126761
gay,castro,gentrified,marina,21,0.29577464788732394
gay,castro,normative,marina,26,0.36619718309859156
geography,castro,antitask,marina,1,0.25
geography,castro,gentrified,marina,1,0.25
geography,castro,geography,marina,2,0.5
institutions,castro,antitask,marina,1,0.16666666666666666
institutions,castro,fun,marina,1,0.16666666666666666
institutions,castro,geography,marina,1,0.16666666666666666
institutions,castro,institutions,marina,1,0.16666666666666666
institutions,castro,other,marina,2,0.3333333333333333
nice,castro,bad,marina,1,0.058823529411764705
nice,castro,change,marina,1,0.058823529411764705
nice,castro,antitask,marina,2,0.11764705882352941
nice,castro,boring,marina,2,0.11764705882352941
nice,castro,fun,marina,2,0.11764705882352941
nice,castro,gentrified,marina,2,0.11764705882352941
nice,castro,normative,marina,2,0.11764705882352941
nice,castro,other,marina,2,0.11764705882352941
nice,castro,nice,marina,3,0.17647058823529413
normative,castro,boring,marina,1,1.0
open,castro,bad,marina,1,0.5
open,castro,nice,marina,1,0.5
other,castro,actions,marina,1,0.1111111111111111
other,castro,gentrified,marina,1,0.1111111111111111
other,castro,nice,marina,1,0.1111111111111111
other,castro,normative,marina,1,0.1111111111111111
other,castro,young,marina,1,0.1111111111111111
other,castro,boring,marina,2,0.2222222222222222
other,castro,other,marina,2,0.2222222222222222
special,castro,antitask,marina,1,0.14285714285714285
special,castro,normative,marina,1,0.14285714285714285
special,castro,other,marina,1,0.14285714285714285
special,castro,gentrified,marina,2,0.2857142857142857
special,castro,nice,marina,2,0.2857142857142857
