category1,response_site1,category2,response_site2,count,probability
gay,castro,actions,mission,1,1.0
boring,castro,antitask,mission,1,0.05555555555555555
diverse,castro,antitask,mission,1,0.05555555555555555
geography,castro,antitask,mission,1,0.05555555555555555
nice,castro,antitask,mission,1,0.05555555555555555
special,castro,antitask,mission,1,0.05555555555555555
fun,castro,antitask,mission,4,0.2222222222222222
gay,castro,antitask,mission,9,0.5
other,castro,bad,mission,1,0.5
sexual,castro,bad,mission,1,0.5
chaotic,castro,chaotic,mission,1,0.125
diverse,castro,chaotic,mission,1,0.125
gay,castro,chaotic,mission,1,0.125
nice,castro,chaotic,mission,1,0.125
open,castro,chaotic,mission,1,0.125
fun,castro,chaotic,mission,3,0.375
community,castro,community,mission,1,0.2
fun,castro,community,mission,1,0.2
special,castro,community,mission,1,0.2
gay,castro,community,mission,2,0.4
antitask,castro,diverse,mission,1,0.027777777777777776
change,castro,diverse,mission,1,0.027777777777777776
open,castro,diverse,mission,1,0.027777777777777776
sexual,castro,diverse,mission,1,0.027777777777777776
special,castro,diverse,mission,1,0.027777777777777776
nice,castro,diverse,mission,2,0.05555555555555555
other,castro,diverse,mission,3,0.08333333333333333
diverse,castro,diverse,mission,4,0.1111111111111111
fun,castro,diverse,mission,7,0.19444444444444445
gay,castro,diverse,mission,15,0.4166666666666667
nice,castro,food,mission,1,0.05
normative,castro,food,mission,1,0.05
other,castro,food,mission,1,0.05
special,castro,food,mission,1,0.05
chaotic,castro,food,mission,2,0.1
diverse,castro,food,mission,2,0.1
gay,castro,food,mission,5,0.25
fun,castro,food,mission,7,0.35
boring,castro,fun,mission,1,0.022222222222222223
community,castro,fun,mission,2,0.044444444444444446
diverse,castro,fun,mission,2,0.044444444444444446
nice,castro,fun,mission,3,0.06666666666666667
gay,castro,fun,mission,11,0.24444444444444444
fun,castro,fun,mission,26,0.5777777777777777
gay,castro,gay,mission,1,0.25
open,castro,gay,mission,1,0.25
nice,castro,gay,mission,2,0.5
antitask,castro,gentrified,mission,1,0.06666666666666667
chaotic,castro,gentrified,mission,1,0.06666666666666667
fun,castro,gentrified,mission,1,0.06666666666666667
gentrified,castro,gentrified,mission,1,0.06666666666666667
community,castro,gentrified,mission,2,0.13333333333333333
nice,castro,gentrified,mission,2,0.13333333333333333
other,castro,gentrified,mission,2,0.13333333333333333
gay,castro,gentrified,mission,5,0.3333333333333333
geography,castro,geography,mission,1,0.3333333333333333
diverse,castro,geography,mission,2,0.6666666666666666
chaotic,castro,gritty,mission,1,0.07692307692307693
diverse,castro,gritty,mission,1,0.07692307692307693
gritty,castro,gritty,mission,1,0.07692307692307693
normative,castro,gritty,mission,1,0.07692307692307693
other,castro,gritty,mission,1,0.07692307692307693
special,castro,gritty,mission,1,0.07692307692307693
fun,castro,gritty,mission,2,0.15384615384615385
nice,castro,gritty,mission,2,0.15384615384615385
gay,castro,gritty,mission,3,0.23076923076923078
fun,castro,institutions,mission,2,1.0
antitask,castro,latino,mission,1,0.03571428571428571
fun,castro,latino,mission,1,0.03571428571428571
geography,castro,latino,mission,1,0.03571428571428571
institutions,castro,latino,mission,1,0.03571428571428571
other,castro,latino,mission,1,0.03571428571428571
special,castro,latino,mission,1,0.03571428571428571
diverse,castro,latino,mission,2,0.07142857142857142
gay,castro,latino,mission,20,0.7142857142857143
antitask,castro,nice,mission,1,0.1
chaotic,castro,nice,mission,1,0.1
diverse,castro,nice,mission,1,0.1
nice,castro,nice,mission,1,0.1
special,castro,nice,mission,1,0.1
fun,castro,nice,mission,2,0.2
gay,castro,nice,mission,3,0.3
gay,castro,normative,mission,1,0.5
normative,castro,normative,mission,1,0.5
bad,castro,other,mission,1,0.14285714285714285
sexual,castro,other,mission,1,0.14285714285714285
special,castro,other,mission,1,0.14285714285714285
gay,castro,other,mission,4,0.5714285714285714
sexual,castro,sexual,mission,1,1.0
antitask,castro,special,mission,1,0.06666666666666667
community,castro,special,mission,1,0.06666666666666667
diverse,castro,special,mission,1,0.06666666666666667
geography,castro,special,mission,1,0.06666666666666667
fun,castro,special,mission,2,0.13333333333333333
special,castro,special,mission,4,0.26666666666666666
gay,castro,special,mission,5,0.3333333333333333
antitask,castro,weather,mission,1,0.25
fun,castro,weather,mission,1,0.25
gay,castro,weather,mission,2,0.5
gay,castro,young,mission,1,1.0
