category1,response_site1,category2,response_site2,count,probability
antitask,castro,diverse,mission,1,0.16666666666666666
antitask,castro,gentrified,mission,1,0.16666666666666666
antitask,castro,latino,mission,1,0.16666666666666666
antitask,castro,nice,mission,1,0.16666666666666666
antitask,castro,special,mission,1,0.16666666666666666
antitask,castro,weather,mission,1,0.16666666666666666
bad,castro,other,mission,1,1.0
boring,castro,antitask,mission,1,0.5
boring,castro,fun,mission,1,0.5
change,castro,diverse,mission,1,1.0
chaotic,castro,chaotic,mission,1,0.16666666666666666
chaotic,castro,gentrified,mission,1,0.16666666666666666
chaotic,castro,gritty,mission,1,0.16666666666666666
chaotic,castro,nice,mission,1,0.16666666666666666
chaotic,castro,food,mission,2,0.3333333333333333
community,castro,community,mission,1,0.16666666666666666
community,castro,special,mission,1,0.16666666666666666
community,castro,fun,mission,2,0.3333333333333333
community,castro,gentrified,mission,2,0.3333333333333333
diverse,castro,antitask,mission,1,0.058823529411764705
diverse,castro,chaotic,mission,1,0.058823529411764705
diverse,castro,gritty,mission,1,0.058823529411764705
diverse,castro,nice,mission,1,0.058823529411764705
diverse,castro,special,mission,1,0.058823529411764705
diverse,castro,food,mission,2,0.11764705882352941
diverse,castro,fun,mission,2,0.11764705882352941
diverse,castro,geography,mission,2,0.11764705882352941
diverse,castro,latino,mission,2,0.11764705882352941
diverse,castro,diverse,mission,4,0.23529411764705882
fun,castro,community,mission,1,0.01694915254237288
fun,castro,gentrified,mission,1,0.01694915254237288
fun,castro,latino,mission,1,0.01694915254237288
fun,castro,weather,mission,1,0.01694915254237288
fun,castro,gritty,mission,2,0.03389830508474576
fun,castro,institutions,mission,2,0.03389830508474576
fun,castro,nice,mission,2,0.03389830508474576
fun,castro,special,mission,2,0.03389830508474576
fun,castro,chaotic,mission,3,0.05084745762711865
fun,castro,antitask,mission,4,0.06779661016949153
fun,castro,diverse,mission,7,0.11864406779661017
fun,castro,food,mission,7,0.11864406779661017
fun,castro,fun,mission,26,0.4406779661016949
gay,castro,actions,mission,1,0.011235955056179775
gay,castro,chaotic,mission,1,0.011235955056179775
gay,castro,gay,mission,1,0.011235955056179775
gay,castro,normative,mission,1,0.011235955056179775
gay,castro,young,mission,1,0.011235955056179775
gay,castro,community,mission,2,0.02247191011235955
gay,castro,weather,mission,2,0.02247191011235955
gay,castro,gritty,mission,3,0.033707865168539325
gay,castro,nice,mission,3,0.033707865168539325
gay,castro,other,mission,4,0.0449438202247191
gay,castro,food,mission,5,0.056179775280898875
gay,castro,gentrified,mission,5,0.056179775280898875
gay,castro,special,mission,5,0.056179775280898875
gay,castro,antitask,mission,9,0.10112359550561797
gay,castro,fun,mission,11,0.12359550561797752
gay,castro,diverse,mission,15,0.16853932584269662
gay,castro,latino,mission,20,0.2247191011235955
gentrified,castro,gentrified,mission,1,1.0
geography,castro,antitask,mission,1,0.25
geography,castro,geography,mission,1,0.25
geography,castro,latino,mission,1,0.25
geography,castro,special,mission,1,0.25
gritty,castro,gritty,mission,1,1.0
institutions,castro,latino,mission,1,1.0
nice,castro,antitask,mission,1,0.06666666666666667
nice,castro,chaotic,mission,1,0.06666666666666667
nice,castro,food,mission,1,0.06666666666666667
nice,castro,nice,mission,1,0.06666666666666667
nice,castro,diverse,mission,2,0.13333333333333333
nice,castro,gay,mission,2,0.13333333333333333
nice,castro,gentrified,mission,2,0.13333333333333333
nice,castro,gritty,mission,2,0.13333333333333333
nice,castro,fun,mission,3,0.2
normative,castro,food,mission,1,0.3333333333333333
normative,castro,gritty,mission,1,0.3333333333333333
normative,castro,normative,mission,1,0.3333333333333333
open,castro,chaotic,mission,1,0.3333333333333333
open,castro,diverse,mission,1,0.3333333333333333
open,castro,gay,mission,1,0.3333333333333333
other,castro,bad,mission,1,0.1111111111111111
other,castro,food,mission,1,0.1111111111111111
other,castro,gritty,mission,1,0.1111111111111111
other,castro,latino,mission,1,0.1111111111111111
other,castro,gentrified,mission,2,0.2222222222222222
other,castro,diverse,mission,3,0.3333333333333333
sexual,castro,bad,mission,1,0.25
sexual,castro,diverse,mission,1,0.25
sexual,castro,other,mission,1,0.25
sexual,castro,sexual,mission,1,0.25
special,castro,antitask,mission,1,0.08333333333333333
special,castro,community,mission,1,0.08333333333333333
special,castro,diverse,mission,1,0.08333333333333333
special,castro,food,mission,1,0.08333333333333333
special,castro,gritty,mission,1,0.08333333333333333
special,castro,latino,mission,1,0.08333333333333333
special,castro,nice,mission,1,0.08333333333333333
special,castro,other,mission,1,0.08333333333333333
special,castro,special,mission,4,0.3333333333333333
