pair_id,fieldsite,clean_response1,category1,response_site1,clean_response2,category2,response_site2,date,collect_time
0,castro_res,diverse,diverse,castro,bro,normative,marina,11/14/2025,15:20:51
1,castro_res,gay,gay,castro,straight,normative,marina,11/14/2025,15:24:01
2,castro_res,gay,gay,castro,white,normative,marina,11/14/2025,15:35:56
3,castro_res,unique,other,castro,expensive,gentrified,marina,11/14/2025,15:37:37
4,castro_res,colorful,diverse,castro,upscale,gentrified,marina,11/14/2025,16:05:23
5,castro_res,home,community,castro,young,young,marina,11/14/2025,16:06:02
6,castro_res,vibrant,fun,castro,boring,boring,marina,11/14/2025,16:06:11
7,castro_res,gay,gay,castro,preppy,gentrified,marina,11/14/2025,16:06:40
8,castro_res,fun,fun,castro,bad,bad,marina,11/14/2025,16:07:11
9,castro_res,unique,other,castro,stale,boring,marina,11/14/2025,16:07:48
10,castro_res,lively,fun,castro,antitask,antitask,marina,11/14/2025,16:08:30
11,castro_res,lacking,boring,castro,cold,boring,marina,11/14/2025,16:09:06
12,castro_res,diverse,diverse,castro,antitask,antitask,marina,11/14/2025,16:10:02
13,castro_res,vibrant,fun,castro,bougie,gentrified,marina,11/14/2025,16:10:39
14,castro_res,vibrant,fun,castro,white,normative,marina,11/14/2025,16:10:57
15,castro_res,fun,fun,castro,antitask,antitask,marina,11/14/2025,16:13:27
16,castro_res,open,open,castro,beautiful,nice,marina,11/14/2025,16:14:00
17,castro_res,fabulous,gay,castro,bro,normative,marina,11/14/2025,16:14:08
18,castro_res,fun,fun,castro,yuppie,other,marina,11/14/2025,16:15:55
19,castro_res,community,community,castro,antitask,antitask,marina,11/14/2025,16:16:19
20,castro_res,queer,gay,castro,young,young,marina,11/14/2025,16:16:25
21,castro_res,vibrant,fun,castro,tourists,other,marina,11/14/2025,16:17:32
22,castro_res,different,diverse,castro,antitask,antitask,marina,11/14/2025,16:20:15
23,castro_res,diverse,diverse,castro,sophisticated,gentrified,marina,11/14/2025,16:20:30
24,castro_res,nice,nice,castro,antitask,antitask,marina,11/14/2025,16:22:46
25,castro_res,gay,gay,castro,money,gentrified,marina,11/14/2025,16:23:56
26,castro_res,cool,nice,castro,expensive,gentrified,marina,11/14/2025,16:25:32
27,castro_res,vibrant,fun,castro,antitask,antitask,marina,11/14/2025,16:26:38
28,castro_res,gay,gay,castro,restaurants,other,marina,11/14/2025,16:26:39
29,castro_res,fun,fun,castro,rich,gentrified,marina,11/14/2025,16:28:04
30,castro_res,great,fun,castro,white,normative,marina,11/14/2025,16:28:12
