fieldsite,clean_response1,clean_response2,response_site1,response_site2,slow1,slow2,date,collect_time
castro_res,diverse,bro,castro,marina,,,11/14/2025,15:20:51
castro_res,gay,straight,castro,marina,1.0,0.0,11/14/2025,15:24:01
castro_res,gay,white,castro,marina,0.0,1.0,11/14/2025,15:35:56
castro_res,unique,expensive,castro,marina,1.0,0.0,11/14/2025,15:37:37
castro_res,colorful,upscale,castro,marina,0.0,1.0,11/14/2025,16:05:23
castro_res,home,young,castro,marina,,,11/14/2025,16:06:02
castro_res,vibrant,boring,castro,marina,0.0,1.0,11/14/2025,16:06:11
castro_res,gay,preppy,castro,marina,,,11/14/2025,16:06:40
castro_res,fun,bad,castro,marina,,,11/14/2025,16:07:11
castro_res,unique,stale,castro,marina,,,11/14/2025,16:07:48
castro_res,lively,antitask,castro,marina,0.0,1.0,11/14/2025,16:08:30
castro_res,lacking,cold,castro,marina,0.0,1.0,11/14/2025,16:09:06
castro_res,diverse,antitask,castro,marina,,,11/14/2025,16:10:02
castro_res,vibrant,bougie,castro,marina,0.0,1.0,11/14/2025,16:10:39
castro_res,vibrant,white,castro,marina,0.0,1.0,11/14/2025,16:10:57
castro_res,fun,antitask,castro,marina,0.0,1.0,11/14/2025,16:13:27
castro_res,open,beautiful,castro,marina,1.0,0.0,11/14/2025,16:14:00
castro_res,fabulous,bro,castro,marina,,,11/14/2025,16:14:08
castro_res,fun,yuppie,castro,marina,0.0,1.0,11/14/2025,16:15:55
castro_res,community,antitask,castro,marina,0.0,1.0,11/14/2025,16:16:19
castro_res,queer,young,castro,marina,0.0,1.0,11/14/2025,16:16:25
castro_res,vibrant,tourists,castro,marina,0.0,1.0,11/14/2025,16:17:32
castro_res,different,antitask,castro,marina,,,11/14/2025,16:20:15
castro_res,diverse,sophisticated,castro,marina,,,11/14/2025,16:20:30
castro_res,nice,antitask,castro,marina,,,11/14/2025,16:22:46
castro_res,gay,money,castro,marina,1.0,0.0,11/14/2025,16:23:56
castro_res,cool,expensive,castro,marina,,,11/14/2025,16:25:32
castro_res,vibrant,antitask,castro,marina,,,11/14/2025,16:26:38
castro_res,gay,restaurants,castro,marina,0.0,1.0,11/14/2025,16:26:39
castro_res,fun,rich,castro,marina,,,11/14/2025,16:28:04
castro_res,great,white,castro,marina,,,11/14/2025,16:28:12
castro_res,fantastic,antitask,castro,marina,,,11/14/2025,16:28:45
castro_res,bizarre,antitask,castro,marina,,,11/14/2025,16:29:58
castro_res,community,young,castro,marina,0.0,1.0,11/14/2025,16:30:11
castro_res,home,fishy,castro,marina,0.0,1.0,11/14/2025,16:30:52
castro_res,gay,snotty,castro,marina,0.0,1.0,11/14/2025,16:32:19
castro_res,vibrant,antitask,castro,marina,,,11/14/2025,16:33:00
castro_res,happy,tragic,castro,marina,,,11/14/2025,16:33:26
castro_res,predictable,dull,castro,marina,,,11/14/2025,16:33:45
castro_res,community,not_community,castro,marina,,,11/14/2025,16:38:15
castro_res,gay,college,castro,marina,0.0,1.0,11/14/2025,16:38:16
castro_res,,,castro,marina,,,11/14/2025,16:39:00
castro_res,home,far,castro,marina,0.0,1.0,11/14/2025,16:39:13
castro_res,warm,cold,castro,marina,,,11/14/2025,16:39:37
castro_res,,,castro,marina,,,11/14/2025,16:41:08
castro_res,eclectic,posh,castro,marina,0.0,1.0,11/14/2025,16:41:28
castro_res,home,toxic,castro,marina,,,11/14/2025,16:44:22
castro_res,friendly,conformist,castro,marina,0.0,1.0,11/14/2025,16:45:21
castro_res,vibrant,snotty,castro,marina,1.0,0.0,11/14/2025,16:45:23
castro_res,gay,boring,castro,marina,,,11/14/2025,16:46:04
castro_res,home,sinking,castro,marina,,,11/14/2025,16:46:25
castro_res,community,busy,castro,marina,0.0,1.0,11/14/2025,16:47:23
castro_res,old,cold,castro,marina,,,11/14/2025,16:50:01
castro_res,fun,na,castro,marina,,,11/14/2025,16:50:05
castro_res,lively,slutty,castro,marina,0.0,1.0,11/14/2025,16:51:48
castro_res,colorful,upscale,castro,marina,,,11/14/2025,16:52:23
castro_res,pleasant,scenic,castro,marina,0.0,1.0,11/14/2025,16:52:28
castro_res,interesting,posh,castro,marina,0.0,1.0,11/14/2025,16:54:20
castro_res,fun,bougie,castro,marina,,,11/14/2025,16:54:28
castro_res,vibrant,architecture,castro,marina,0.0,1.0,11/14/2025,16:55:56
castro_res,different,yuppie,castro,marina,0.0,1.0,11/14/2025,16:57:09
castro_res,wonderful,posh,castro,marina,,,11/14/2025,16:58:26
castro_res,original,beautiful,castro,marina,0.0,1.0,11/14/2025,16:58:31
castro_res,vibrant,preppies,castro,marina,0.0,1.0,11/14/2025,17:00:02
castro_res,vibrant,no!,castro,marina,,,11/14/2025,17:00:10
castro_res,lively,antitask,castro,marina,,,11/14/2025,17:00:52
castro_res,vibrant,interesting,castro,marina,0.0,1.0,11/14/2025,17:00:55
castro_res,education,antitask,castro,marina,0.0,1.0,11/14/2025,17:01:58
castro_res,gay,raw,castro,marina,,,11/14/2025,17:02:42
castro_res,fun,antitask,castro,marina,,,11/14/2025,17:03:22
castro_res,cute,bro-y,castro,marina,0.0,1.0,11/14/2025,17:03:38
castro_res,gay,bougie,castro,marina,0.0,1.0,11/14/2025,17:04:56
castro_res,expressive,mellow,castro,marina,1.0,0.0,11/14/2025,17:05:35
castro_res,gay,straight,castro,marina,,,11/14/2025,17:06:53
castro_res,safe,fun,castro,marina,0.0,1.0,11/14/2025,17:08:50
castro_res,antitask,boring,castro,marina,0.0,1.0,11/14/2025,17:10:48
castro_res,welcoming,antitask,castro,marina,,,11/14/2025,17:10:51
castro_res,clean,antitask,castro,marina,,,11/14/2025,17:11:30
castro_res,changed,monolithic,castro,marina,0.0,1.0,11/14/2025,17:12:13
castro_res,variety,blonde,castro,marina,0.0,1.0,11/14/2025,17:12:17
marina_res,neighborly,antitask,marina,castro,1.0,0.0,11/17/2025,16:41:13
marina_res,upscale,gay,marina,castro,,,11/17/2025,16:44:06
marina_res,fun,great,marina,castro,,,11/17/2025,16:46:08
marina_res,buttheads,gay,marina,castro,,,11/17/2025,16:49:35
marina_res,flat,hilly,marina,castro,,,11/17/2025,16:53:22
marina_res,marina,castro,marina,castro,,,11/17/2025,16:59:55
marina_res,upscale,wonderful,marina,castro,0.0,1.0,11/17/2025,17:04:07
marina_res,cold,fun,marina,castro,1.0,0.0,11/17/2025,17:19:20
marina_res,sea,valley,marina,castro,,,11/17/2025,17:20:41
marina_res,finance,gay,marina,castro,1.0,0.0,11/17/2025,17:27:26
marina_res,family,antitask,marina,castro,,,11/17/2025,17:29:00
marina_res,bougie,gay,marina,castro,,,11/17/2025,17:30:44
marina_res,young,gay,marina,castro,0.0,1.0,11/17/2025,17:32:20
marina_res,homogenous,progressive,marina,castro,,,11/17/2025,17:34:05
marina_res,cosy,antitask,marina,castro,,,11/17/2025,17:38:07
marina_res,positive,lively,marina,castro,,,11/17/2025,17:39:16
marina_res,lively,antitask,marina,castro,,,11/17/2025,17:40:51
marina_res,,,marina,castro,,,11/17/2025,17:42:33
marina_res,beautiful,vibrant,marina,castro,,,11/17/2025,17:43:47
marina_res,silly,antitask,marina,castro,1.0,0.0,11/17/2025,17:45:29
marina_res,fun,antitask,marina,castro,,,11/17/2025,17:45:43
marina_res,fancy,antitask,marina,castro,,,11/17/2025,17:47:14
marina_res,frat,fun,marina,castro,,,11/17/2025,17:47:37
marina_res,harbor,neighborhood,marina,castro,0.0,1.0,11/17/2025,17:50:22
marina_res,stereotypical,antitask,marina,castro,,,11/17/2025,17:53:15
marina_res,eclectic,old,marina,castro,,,11/17/2025,17:54:17
marina_res,nice,unique,marina,castro,,,11/17/2025,17:54:53
marina_res,expensive,vibrant,marina,castro,0.0,1.0,11/19/2025,14:47:15
marina_res,amazing,great,marina,castro,,,11/19/2025,14:49:30
marina_res,pretentious,gay,marina,castro,,,11/19/2025,14:50:12
marina_res,coziness,antitask,marina,castro,,,11/19/2025,14:51:25
marina_res,chilly,antitask,marina,castro,1.0,0.0,11/19/2025,14:53:39
marina_res,youthful,changing,marina,castro,,,11/19/2025,14:53:47
marina_res,young,gay,marina,castro,,,11/19/2025,14:54:13
marina_res,energetic,colorful,marina,castro,1.0,0.0,11/19/2025,14:55:46
marina_res,yuppie,gay,marina,castro,,,11/19/2025,14:56:36
marina_res,bougie,gay,marina,castro,1.0,0.0,11/19/2025,14:57:16
marina_res,dog,antitask,marina,castro,,,11/19/2025,15:01:30
marina_res,varied,beautiful,marina,castro,,,11/19/2025,15:03:26
marina_res,yuppie,antitask,marina,castro,,,11/19/2025,15:05:20
marina_res,basic,dance,marina,castro,,,11/19/2025,15:07:40
marina_res,gorgeous,busy,marina,castro,,,11/19/2025,15:08:03
marina_res,teaming,colorful,marina,castro,1.0,0.0,11/19/2025,15:08:45
marina_res,upper_middle_class,gay,marina,castro,,,11/19/2025,15:08:49
