response,clean_response,fieldsite,response_site,participants,date,collect_time,slow,order,pair_id
diverse,diverse,castro_res,castro,res,11/14/2025,15:20:51,0,1,0
bro,bro,castro_res,marina,res,11/14/2025,15:20:51,0,2,0
gay,gay,castro_res,castro,res,11/14/2025,15:24:01,1,1,1
straight,straight,castro_res,marina,res,11/14/2025,15:24:01,0,2,1
gay,gay,castro_res,castro,res,11/14/2025,15:35:56,0,1,2
white,white,castro_res,marina,res,11/14/2025,15:35:56,1,2,2
unique,unique,castro_res,castro,res,11/14/2025,15:37:37,1,1,3
expensive,expensive,castro_res,marina,res,11/14/2025,15:37:37,0,2,3
colourful,colorful,castro_res,castro,res,11/14/2025,16:05:23,0,1,4
upscale,upscale,castro_res,marina,res,11/14/2025,16:05:23,1,2,4
young_people,young,castro_res,marina,res,11/14/2025,16:06:02,1,2,5
home,home,castro_res,castro,res,11/14/2025,16:06:02,1,1,5
vibrant,vibrant,castro_res,castro,res,11/14/2025,16:06:11,0,1,6
boring,boring,castro_res,marina,res,11/14/2025,16:06:11,1,2,6
gay,gay,castro_res,castro,res,11/14/2025,16:06:40,0,1,7
preppy,preppy,castro_res,marina,res,11/14/2025,16:06:40,0,2,7
fun,fun,castro_res,castro,res,11/14/2025,16:07:11,0,1,8
bad,bad,castro_res,marina,res,11/14/2025,16:07:11,0,2,8
unique,unique,castro_res,castro,res,11/14/2025,16:07:48,0,1,9
stale,stale,castro_res,marina,res,11/14/2025,16:07:48,0,2,9
i_don't_go_there_a_lot_north_point_great_views_golden_gate_bridge_dating_scene_millennial,antitask,castro_res,marina,res,11/14/2025,16:08:30,1,2,10
lively,lively,castro_res,castro,res,11/14/2025,16:08:30,0,1,10
lacking,lacking,castro_res,castro,res,11/14/2025,16:09:06,0,1,11
cold,cold,castro_res,marina,res,11/14/2025,16:09:06,1,2,11
i_can't_give_you_an_answer,antitask,castro_res,marina,res,11/14/2025,16:10:02,0,2,12
diverse,diverse,castro_res,castro,res,11/14/2025,16:10:02,0,1,12
vibrant,vibrant,castro_res,castro,res,11/14/2025,16:10:39,0,1,13
bougie,bougie,castro_res,marina,res,11/14/2025,16:10:39,1,2,13
white_(can_i_say_that?),white,castro_res,marina,res,11/14/2025,16:10:57,1,2,14
vibrant,vibrant,castro_res,castro,res,11/14/2025,16:10:57,0,1,14
i_don’t_know_i_have_not_been_there_for_a_long_time,antitask,castro_res,marina,res,11/14/2025,16:13:27,1,2,15
fun,fun,castro_res,castro,res,11/14/2025,16:13:27,0,1,15
open,open,castro_res,castro,res,11/14/2025,16:14:00,1,1,16
beautiful,beautiful,castro_res,marina,res,11/14/2025,16:14:00,0,2,16
fabulous,fabulous,castro_res,castro,res,11/14/2025,16:14:08,0,1,17
bro,bro,castro_res,marina,res,11/14/2025,16:14:08,0,2,17
fun,fun,castro_res,castro,res,11/14/2025,16:15:55,0,1,18
