index,response,clean_response,fieldsite,response_site,participants,date,collect_time,slow,order,pair_id,category
0,diverse,diverse,castro_res,castro,res,11/14/2025,15:20:51,0.0,1,0,diverse
1,bro,bro,castro_res,marina,res,11/14/2025,15:20:51,0.0,2,0,normative
2,gay,gay,castro_res,castro,res,11/14/2025,15:24:01,1.0,1,1,gay
3,straight,straight,castro_res,marina,res,11/14/2025,15:24:01,0.0,2,1,normative
4,gay,gay,castro_res,castro,res,11/14/2025,15:35:56,0.0,1,2,gay
5,white,white,castro_res,marina,res,11/14/2025,15:35:56,1.0,2,2,normative
6,unique,unique,castro_res,castro,res,11/14/2025,15:37:37,1.0,1,3,other
7,expensive,expensive,castro_res,marina,res,11/14/2025,15:37:37,0.0,2,3,gentrified
8,colourful,colorful,castro_res,castro,res,11/14/2025,16:05:23,0.0,1,4,diverse
9,upscale,upscale,castro_res,marina,res,11/14/2025,16:05:23,1.0,2,4,gentrified
10,young_people,young,castro_res,marina,res,11/14/2025,16:06:02,1.0,2,5,young
11,home,home,castro_res,castro,res,11/14/2025,16:06:02,1.0,1,5,community
12,vibrant,vibrant,castro_res,castro,res,11/14/2025,16:06:11,0.0,1,6,fun
13,boring,boring,castro_res,marina,res,11/14/2025,16:06:11,1.0,2,6,boring
14,gay,gay,castro_res,castro,res,11/14/2025,16:06:40,0.0,1,7,gay
15,preppy,preppy,castro_res,marina,res,11/14/2025,16:06:40,0.0,2,7,gentrified
16,fun,fun,castro_res,castro,res,11/14/2025,16:07:11,0.0,1,8,fun
17,bad,bad,castro_res,marina,res,11/14/2025,16:07:11,0.0,2,8,bad
18,unique,unique,castro_res,castro,res,11/14/2025,16:07:48,0.0,1,9,other
19,stale,stale,castro_res,marina,res,11/14/2025,16:07:48,0.0,2,9,boring
20,i_don't_go_there_a_lot_north_point_great_views_golden_gate_bridge_dating_scene_millennial,antitask,castro_res,marina,res,11/14/2025,16:08:30,1.0,2,10,antitask
21,lively,lively,castro_res,castro,res,11/14/2025,16:08:30,0.0,1,10,fun
22,lacking,lacking,castro_res,castro,res,11/14/2025,16:09:06,0.0,1,11,boring
23,cold,cold,castro_res,marina,res,11/14/2025,16:09:06,1.0,2,11,boring
24,i_can't_give_you_an_answer,antitask,castro_res,marina,res,11/14/2025,16:10:02,0.0,2,12,antitask
25,diverse,diverse,castro_res,castro,res,11/14/2025,16:10:02,0.0,1,12,diverse
26,vibrant,vibrant,castro_res,castro,res,11/14/2025,16:10:39,0.0,1,13,fun
27,bougie,bougie,castro_res,marina,res,11/14/2025,16:10:39,1.0,2,13,gentrified
28,white_(can_i_say_that?),white,castro_res,marina,res,11/14/2025,16:10:57,1.0,2,14,normative
29,vibrant,vibrant,castro_res,castro,res,11/14/2025,16:10:57,0.0,1,14,fun
30,i_don’t_know_i_have_not_been_there_for_a_long_time,antitask,castro_res,marina,res,11/14/2025,16:13:27,1.0,2,15,antitask
31,fun,fun,castro_res,castro,res,11/14/2025,16:13:27,0.0,1,15,fun
32,open,open,castro_res,castro,res,11/14/2025,16:14:00,1.0,1,16,open
33,beautiful,beautiful,castro_res,marina,res,11/14/2025,16:14:00,0.0,2,16,nice
34,fabulous,fabulous,castro_res,castro,res,11/14/2025,16:14:08,0.0,1,17,gay
35,bro,bro,castro_res,marina,res,11/14/2025,16:14:08,0.0,2,17,normative
36,fun,fun,castro_res,castro,res,11/14/2025,16:15:55,0.0,1,18,fun
37,yuppies,yuppie,castro_res,marina,res,11/14/2025,16:15:55,1.0,2,18,other
38,i_don’t_really_have_any_word_for_it,antitask,castro_res,marina,res,11/14/2025,16:16:19,1.0,2,19,antitask
39,community,community,castro_res,castro,res,11/14/2025,16:16:19,0.0,1,19,community
40,queer,queer,castro_res,castro,res,11/14/2025,16:16:25,0.0,1,20,gay
41,young,young,castro_res,marina,res,11/14/2025,16:16:25,1.0,2,20,young
42,vibrant,vibrant,castro_res,castro,res,11/14/2025,16:17:32,0.0,1,21,fun
43,tourist,tourists,castro_res,marina,res,11/14/2025,16:17:32,1.0,2,21,other
44,i_haven’t_been_there_for_so_long.,antitask,castro_res,marina,res,11/14/2025,16:20:15,0.0,2,22,antitask
45,different,different,castro_res,castro,res,11/14/2025,16:20:15,0.0,1,22,diverse
46,diverse,diverse,castro_res,castro,res,11/14/2025,16:20:30,1.0,1,23,diverse
47,sophisticated,sophisticated,castro_res,marina,res,11/14/2025,16:20:30,1.0,2,23,gentrified
48,i_don’t_know,antitask,castro_res,marina,res,11/14/2025,16:22:46,0.0,2,24,antitask
49,nice,nice,castro_res,castro,res,11/14/2025,16:22:46,0.0,1,24,nice
